Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Парасюк,Михайло,Миколайович,чоловіча,1944-06-12,Електромонтажник,селище Старий Крим,"сквер Толбухіна, буд. 16 кв. 963, Антрацит , 14087",431-01-26,gmoskal@example.org
Абраменко,Ілля,Сергійович,чоловіча,1939-05-27,Ювелір,хутір Кілія,"парк Крижанівський, буд. 99, Комарно, 82153",+380 56 599-97-41,onufriienkoievhen@example.net
Єрьоменко,Леонтій,Олегович,чоловіча,1958-06-01,Музикант,місто Городенка,"проспект Нова, буд. 101, Носівка, 28026",003 016 01 38,ihorbaranets@example.com
Тимчук,Опанас,Миколайович,чоловіча,1945-03-01,Музикознавець,селище Богодухів,"парк Соборна, буд. 161, Нововолинськ, 97678",200 14 64,babenkobohuslava@example.org
Даньків,Ростислав,Романович,чоловіча,1976-09-15,Продюсер,село Берестечко,"парк Виноградна 3-тя, буд. 4 кв. 967, Малин, 92007",+380 68 664 36 55,davyd99@example.com
Талан,Олег,Романович,чоловіча,1943-10-18,Няня,селище Вуглегірськ,"проспект Волзький, буд. 4 кв. 0, Березне, 98859",257 53 47,nskorobohatko@example.com
Притула,Марко,Юрійович,чоловіча,1998-09-15,Хореограф,село Перещепине,"сквер Івахненка Петра, буд. 60, Валки , 67091",068 332 30 34,orest02@example.com
Баранець,Захар,Геннадійович,чоловіча,1940-06-15,Агроном,місто Новоселиця,"провулок Іванова 1-й, буд. 245, Рудки, 30734",870-59-92,tsarenkosviatoslava@example.net
Яремчук,Франц,Миколайович,чоловіча,1976-08-11,Скульптор,місто Южне,"шосе Писарева, буд. 10, Вознесенськ, 38080",065 052 73 74,adamiukhymenko@example.net
Чайка,Єфрем,Федорович,чоловіча,1989-07-14,Фольклорист,село Корсунь-Шевченківський,"набережна 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 01, Чистякове, 55707",+380 07 348-79-85,zdashkevych@example.com
Ярема,Аніта,Дмитрівна,жіноча,1945-05-16,Ботанік,місто Алчевськ,"проспект Разумовська, буд. 317 кв. 40, Красноград, 21911",099 120-75-19,bmakarenko@example.net
Шелест,Анжела,Павлівна,жіноча,1976-10-15,Машиніст,хутір Кагарлик,"парк Трамвайна, буд. 9 кв. 52, Нікополь, 41910",510-79-46,roman07@example.org
Швачка,Віолетта,Романівна,жіноча,1997-01-06,Професор,село Турка,"вулиця Бессарабська, буд. 0 кв. 5, Бобровиця, 29314",004 289 26 75,romanlazarenko@example.com
Рубан,Федір,Петрович,чоловіча,1998-06-28,Агроном,село Генічеськ,"площа Заводська 2-га, буд. 444, Збараж, 99536",+380 30 793-84-56,rostyslav57@example.com
Тесля,Захар,Миколайович,чоловіча,1959-02-21,Секретар,місто Бучач,"сквер Олександра Блока, буд. 673, Яготин, 49552",+380 (83) 221-65-12,kdubenko@example.net
Романчук,Левко,Ігоревич,чоловіча,2007-04-17,Живописець,селище Калинівка ,"набережна Кленова, буд. 5, Хмельницький, 08447",+380 48 804-92-79,tetiana03@example.org
Голобородько,Пилип,Іванович,чоловіча,1979-06-16,Стропальник,хутір Новоселиця,"проспект Чернишевського, буд. 601, Перемишляни, 20743",+380 46 301-35-59,olhadatsiuk@example.com
Демʼяненко,Григорій,Артемович,чоловіча,1947-09-13,Ботанік,селище Охтирка,"проспект Лінія 54-та, буд. 25, Калинівка , 41469",099 802-25-87,liubov40@example.org
Мазур,Зорян,Павлович,чоловіча,1968-12-15,Програміст,місто Першотравенськ,"вулиця 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 2, Погребище, 65656",936-86-82,iakovenkoviktoriia@example.org
Шеремет,Марко,Вікторович,чоловіча,2001-01-29,Модельєр,село Ічня,"узвіз Пироговський, буд. 7, Гірське, 14487",+380 (42) 882-20-21,qabrahamovska@example.com
Сацюк,Вʼячеслав,Федорович,чоловіча,1977-01-02,Географ,місто Ізюм,"сквер Благовидової, буд. 640 кв. 497, Волочиськ, 60449",+380 80 295 32 30,iustymiaremko@example.com
Удовиченко,Трохим,Романович,чоловіча,1939-01-06,Астрофізик,місто Лутугине,"сквер Рєпіна, буд. 0 кв. 23, Шаргород, 77605",511-55-28,cdavydenko@example.net
Атрощенко,Мирон,Олександрович,чоловіча,1940-07-23,Адвокат,село Бахчисарай,"шосе Данила Крижанівського, буд. 85, Боярка, 39949",656-41-05,prokhirriaboshapka@example.com
Василечко,Валентин,Дмитрович,чоловіча,1960-01-07,Фермер,село Мерефа,"площа Кришталева, буд. 9 кв. 78, Виноградів, 95994",+380 (00) 782-44-22,liubovchervonenko@example.net
Якимчук,Андрій,Дмитрович,чоловіча,1955-02-18,Драматург,селище Суми,"сквер Пересипська 8-ма, буд. 69, Сквира, 90742",035 111-55-96,bebeshkofrants@example.net
Абрамчук,Леонід,Павлович,чоловіча,1960-06-11,Слідчий,село Святогірськ,"парк Шкіперська, буд. 01 кв. 66, Городенка, 63158",+380 65 707-57-87,volodymyr44@example.org
Мірошниченко,Прохір,Артемович,чоловіча,1959-11-01,Випробувач,хутір Луцьк,"сквер Маршрутна, буд. 38 кв. 14, Курахове, 76144",876-48-99,viktor28@example.org
Ковалюк,Роксолана,Вікторівна,жіноча,1976-03-31,Паралегал,місто Соледар,"узвіз Тепла, буд. 9 кв. 46, Зимогір'я, 17371",+380 32 334-29-20,nataliiatymchenko@example.net
Кириленко,Орхип,Федорович,чоловіча,1970-01-06,Інженер,селище Свалява,"парк Артилерійський 2-й, буд. 845 кв. 54, Березань , 19641",098 194-95-52,zakharchenkoleonid@example.net
Чумаченко,Мирон,Васильович,чоловіча,1950-05-26,Гінеколог,місто Корсунь-Шевченківський,"проспект Рівності 2-й, буд. 35, Подільськ, 30481",+380 (43) 753-62-22,bohuslavchuiko@example.org
Притула,Антон,Ігоревич,чоловіча,1941-03-03,Складальник,село Старобільськ,"проспект Мічманський 1-й, буд. 17 кв. 81, Чортків, 74155",+380 (68) 638-60-87,pavlykanita@example.org
Вернидуб,Остап,Федорович,чоловіча,1947-02-18,Кінокритик,селище Рожище,"шосе Каспійський, буд. 0 кв. 397, Берислав, 39625",123 94 48,liubov51@example.org
Шелест,Клавдія,Ігорівна,жіноча,1977-10-17,Єгер,селище Коростень,"сквер Канатний, буд. 38, Бровари, 93956",+380 37 839 58 98,ydavydenko@example.com
Засядько,Максим,Миколайович,чоловіча,2003-05-18,Графік,село Ічня,"набережна Достоєвського, буд. 9 кв. 468, Кальміуське, 82659",+380 (63) 055-95-66,tverdokhlibvolodymyra@example.org
Сірко,Павло,Ігоревич,чоловіча,1989-04-03,Менеджер,місто Покровськ,"проспект Давида Ойстраха, буд. 3 кв. 97, Надвірна, 47853",+380 (34) 139-55-89,hennadiiteslia@example.org
Шамрай,Борислав,Васильович,чоловіча,1984-11-11,Хімік,село Благовіщенське,"набережна Буніна, буд. 01 кв. 28, Новогродівка, 33940",080 391-30-26,fursivan@example.org
Голик,Любов,Миколаївна,жіноча,1942-08-09,Детектив,село Кременчук,"провулок Глазунова 1-й, буд. 65, Голубівка, 59504",+380 (08) 828-27-45,danylchuksofiia@example.org
Калениченко,Онисим,Сергійович,чоловіча,1982-04-20,Драматург,місто Вишгород,"провулок 11-та ст. Великого Фонтану пляж, буд. 075 кв. 01, Дружківка, 19023",+380 20 554-93-99,bohdan57@example.net
